semester_id,name,term_start_date,timezone,notes
2025-fall,2025-2026第一学期,2025-08-25,Asia/Shanghai,第7周周一为2025-10-06
2026-spring,2025-2026第二学期,2026-03-02,Asia/Shanghai,第1周周一为2026-03-02
